Polling station name,NPP,NDC,Total valid votes,Rejected votes,Total votes cast,Reg. votes
SPECIAL VOTING,157,31,188,0,188,208
DA PRIM SCH AKWAMU (A),197,88,292,3,295,444
DA PRIM SCH AKWAMU (B),199,100,306,6,312,442
DA PRIM SCH KWAME ADWER ,81,153,237,10,247,295
DA PRIM SCH ABAMKWAIM,69,115,220,2,222,273
DA PRIM SCH AFRANSI (A),138,144,294,2,296,409
DA PRIM SCH AFRANSI (B),126,179,313,6,319,407
DA JHS AFRANSI,51,64,125,0,125,179
METH CHURCH AFRANSI (A),269,154,448,8,456,618
METH CHURCH AFRANSI (B),236,186,438,3,441,616
ORTHODOX CHURCH AFRANSI,169,160,339,7,346,504
PENTECOST CHURCH AFRANSI,155,93,258,16,274,371
BAPTIST CHURCH AFRANSI,75,68,164,2,166,227
ANGLICAN PRIM SCHOOL OFASO,121,126,251,3,254,296
DA PRIM SCH AHWIAFITAAM,63,16,84,1,85,100
DA JHS UPPER OBUASI (A),149,251,415,10,416,506
DA JHS UPPER OBUASI (B),154,244,413,5,418,505
COMMUNITY CENTRE UPPER OBUASI,104,168,279,10,289,379
DA PRIM SCH LOWER OBUASI (A),171,213,394,2,396,536
DA PRIM SCH LOWER OBUASI (B),139,236,392,8,400,535
MARKET SQUARE LOWER OBUASI,118,177,303,5,308,457
METH PRIM SCH GYAAMAN,165,299,486,5,491,636
MARKET SQUARE GYAAMAN,92,72,165,2,167,219
DA JHS GYAAMAN (A),106,170,281,3,284,511
DA JHS GYAAMAN (B),142,163,313,7,320,509
METH. CHURCH GYAAMAN,140,169,311,2,313,441
METH. PRIM SCH ESIKUMA,176,242,451,8,459,594
METH. CHURCH ESIKUMA,128,145,282,6,288,364
DA PRIM SCH DAHOM (A),191,164,369,3,372,481
DA PRIM SCH DAHOM (B),187,138,344,5,349,479
DURBAR GROUNDS DAHOM,49,25,75,0,75,95
DA JHS DAHOM,121,85,214,4,218,298
DA PRIM SCH. LOME (A),305,125,439,10,449,595
DA PRIM SCH. LOME (B),333,129,472,6,478,593
METH CHURCH LOME,28,16,45,1,46,85
DA JHS LOME,283,116,406,6,412,587
COMMUNITY CENTRE ACHIASE (A),158,161,333,7,340,421
COMMUNITY CENTRE ACHIASE (B),153,137,302,9,311,420
CATHOLIC CHURCH ACHIASE,53,50,103,1,104,182
ASAFO POST ACHIASE (A),161,135,302,10,312,462
ASAFO POST ACHIASE (B),172,114,298,13,311,461
COMMUNITY CENTRE BESEADZE (A),159,123,287,3,290,382
COMMUNITY CENTRE BESEADZE (B),163,111,278,5,283,380
PENT. CHURCH BESEADZE,224,106,337,7,344,443
ISLAMIC MOSQUE MALLAM JUNCTION BESEADZE,138,122,274,3,277,381
DA PRIM SCH AKROPONG (A),192,113,311,0,311,434
DA PRIM SCH AKRONPONG (B),180,146,336,1,337,433
SDA BASIC SCHOOL AKROPONG NO.2,163,93,262,3,265,369
DA JHS AKROPONG (A),218,142,367,6,373,513
DA JHS AKROPNG (B),226,141,371,3,374,512
CHIEF'S PALACE AKROPONG,248,130,389,5,394,555
FOCUS ACADEMY HILL CITY,255,169,456,3,459,634
ASAFO POST EKROFUL (A),209,151,367,0,367,445
ASAFO POST EKROFUL (B),205,143,356,5,361,444
DA PRIM SCH A. EKROFUL,165,129,301,13,314,426
CALVARY METH. CHURCH EKROFUL,131,114,251,3,254,325
METH. CHURCH BENSO (A),287,154,454,8,462,630
METH. CHURCH BENSO (B),293,158,457,6,463,628
DA JHS C BENSO,79,28,107,1,108,168
ASAFO POST BENSO (A),328,178,514,7,521,749
DA JHS B BENSO,179,65,249,1,250,377
AFT CHURCH ABOSO (A),281,122,408,2,410,543
AFT CHURCH ABOSO (B),292,106,401,5,406,541
PATASE MARKET SQUARE ABOSO (A),187,74,268,5,273,396
PATASE MARKET SQUARE ABOSO (B),154,103,265,2,267,394
OLD FAITH CLINIC ABOSO,340,136,485,5,490,656
AME ZION CHURCH ABOSO,158,120,281,2,283,395
FITTING SHOP HATAMPA JUNCTION ABOSO,66,11,81,1,82,140
AME ZION BASIC SCH. ABOSO,107,68,177,3,180,255
METH PRIM SCHOOL EKWAMKROM (A),421,137,568,4,572,747
ZION HOUSE OF PRAYER CENTRE OSEDZI EKWAMKROM,121,33,155,1,156,216
FRANKEVE VOCATIONAL SCH. OSEDZI EKWAMKROM (A),256,56,314,5,319,419
FRANKEVE VOCATIONAL SCH. OSEDZI EKWAMKROM (B),260,49,311,2,313,417
METHODIST JHS EKWAMKROM (A),232,83,320,3,323,437
METHODIST JHS EKWAMKROM (B),256,69,326,0,326,436
METH CHURCH EKWAMKROM,345,149,503,18,521,703
COMMUNITY CENTRE EKWAMKROM,112,61,174,5,179,269
CATHOLIC PRIM SCHOOL JUKWA (A),215,79,301,3,304,430
CATHOLIC PRIM SCHOOL JUKWA (B),214,109,327,6,333,429
COMMUNITY CENTRE JUKWA,336,143,487,12,499,685
DA PRIM SCH MANSO (A),258,87,362,8,370,460
DA PRIM SCH MANSO (B),253,101,366,3,369,459
COMMUNITY CENTRE MANSO,90,46,140,4,144,201
DA JHS MANGOASE (A),196,193,395,2,397,478
